IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
76.76.21.21,4,4,0.00,70.64,0.00,N/A
216.198.79.65,4,4,0.00,74.87,0.00,N/A
64.29.17.1,4,4,0.00,75.76,0.00,N/A
64.29.17.65,4,4,0.00,76.93,0.00,N/A
216.198.79.1,4,3,0.25,70.55,0.00,N/A
104.18.166.129,4,2,0.50,164.89,0.00,N/A
104.19.220.22,4,2,0.50,168.31,0.00,N/A
162.159.39.4,4,1,0.75,33.47,0.00,N/A
162.159.44.245,4,1,0.75,43.49,0.00,N/A
162.159.39.98,4,1,0.75,53.29,0.00,N/A
162.159.45.136,4,1,0.75,53.57,0.00,N/A
172.64.229.7,4,1,0.75,61.96,0.00,N/A
172.64.229.54,4,1,0.75,72.02,0.00,N/A
104.18.46.147,4,1,0.75,74.09,0.00,N/A
172.64.150.32,4,1,0.75,78.63,0.00,N/A
104.17.191.168,4,1,0.75,134.91,0.00,N/A
104.16.17.46,4,1,0.75,138.91,0.00,N/A
104.17.142.212,4,1,0.75,146.13,0.00,N/A
104.18.188.198,4,1,0.75,149.57,0.00,N/A
104.18.232.189,4,1,0.75,159.55,0.00,N/A
198.41.208.15,4,1,0.75,162.66,0.00,N/A
104.17.14.62,4,1,0.75,164.15,0.00,N/A
104.19.90.135,4,1,0.75,165.17,0.00,N/A
104.19.40.63,4,1,0.75,172.02,0.00,N/A
104.17.171.209,4,1,0.75,179.65,0.00,N/A
162.159.136.89,4,1,0.75,235.07,0.00,N/A
