IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
198.41.208.15,4,4,0.00,284.08,0.00,N/A
104.16.247.180,4,4,0.00,290.09,0.00,N/A
162.159.8.171,4,4,0.00,299.75,0.00,N/A
198.41.208.150,4,4,0.00,327.91,0.00,N/A
162.159.237.217,4,4,0.00,330.55,0.00,N/A
162.159.39.120,4,4,0.00,330.83,0.00,N/A
104.25.240.227,4,4,0.00,331.20,0.00,N/A
162.159.44.245,4,4,0.00,331.38,0.00,N/A
173.245.49.194,4,4,0.00,331.65,0.00,N/A
104.19.220.22,4,4,0.00,331.72,0.00,N/A
172.64.53.115,4,4,0.00,331.78,0.00,N/A
104.17.142.212,4,4,0.00,332.41,0.00,N/A
172.64.32.202,4,4,0.00,332.86,0.00,N/A
104.19.147.131,4,4,0.00,333.14,0.00,N/A
172.64.150.32,4,4,0.00,333.76,0.00,N/A
104.16.230.84,4,4,0.00,333.87,0.00,N/A
104.17.156.144,4,4,0.00,334.61,0.00,N/A
198.41.211.232,4,4,0.00,334.61,0.00,N/A
216.198.79.65,4,4,0.00,334.75,0.00,N/A
162.159.24.154,4,4,0.00,334.86,0.00,N/A
198.41.208.41,4,4,0.00,334.96,0.00,N/A
162.159.38.226,4,4,0.00,335.75,0.00,N/A
162.159.61.183,4,4,0.00,335.88,0.00,N/A
104.18.255.167,4,4,0.00,335.94,0.00,N/A
162.159.136.89,4,4,0.00,336.16,0.00,N/A
172.64.48.226,4,4,0.00,336.26,0.00,N/A
104.26.5.134,4,4,0.00,336.50,0.00,N/A
104.17.167.134,4,4,0.00,336.65,0.00,N/A
172.64.229.7,4,4,0.00,337.07,0.00,N/A
104.19.154.200,4,4,0.00,337.22,0.00,N/A
104.31.16.158,4,4,0.00,337.33,0.00,N/A
104.16.105.166,4,4,0.00,337.86,0.00,N/A
52.76.85.65,4,4,0.00,338.25,0.00,N/A
104.18.89.52,4,4,0.00,338.27,0.00,N/A
198.41.208.224,4,4,0.00,338.36,0.00,N/A
104.16.99.31,4,4,0.00,338.70,0.00,N/A
172.64.229.190,4,4,0.00,338.82,0.00,N/A
162.159.38.232,4,4,0.00,339.21,0.00,N/A
172.64.52.127,4,4,0.00,339.25,0.00,N/A
198.41.223.94,4,4,0.00,339.26,0.00,N/A
198.41.209.186,4,4,0.00,339.47,0.00,N/A
104.19.212.207,4,4,0.00,339.51,0.00,N/A
104.18.88.114,4,4,0.00,339.64,0.00,N/A
104.17.51.83,4,4,0.00,339.71,0.00,N/A
108.162.198.182,4,4,0.00,339.88,0.00,N/A
